image URN	folio URN
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0186	urn:cite:ogl:modena_alfa_t_8_21.folio.93v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0187	urn:cite:ogl:modena_alfa_t_8_21.folio.94r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0188	urn:cite:ogl:modena_alfa_t_8_21.folio.94v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0189	urn:cite:ogl:modena_alfa_t_8_21.folio.95r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0190	urn:cite:ogl:modena_alfa_t_8_21.folio.95v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0191	urn:cite:ogl:modena_alfa_t_8_21.folio.96r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0192	urn:cite:ogl:modena_alfa_t_8_21.folio.96v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0193	urn:cite:ogl:modena_alfa_t_8_21.folio.97r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0194	urn:cite:ogl:modena_alfa_t_8_21.folio.97v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0195	urn:cite:ogl:modena_alfa_t_8_21.folio.98r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0196	urn:cite:ogl:modena_alfa_t_8_21.folio.98v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0197	urn:cite:ogl:modena_alfa_t_8_21.folio.99r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0198	urn:cite:ogl:modena_alfa_t_8_21.folio.99v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0199	urn:cite:ogl:modena_alfa_t_8_21.folio.100r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0200	urn:cite:ogl:modena_alfa_t_8_21.folio.100v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0201	urn:cite:ogl:modena_alfa_t_8_21.folio.101r
